Photo,DSM,hue_median,sat_median,val_median,lab_a_median,lab_b_median,hue_std,sat_std,pixels,segmentation_method,fallback_reason
IMG_3925.JPEG,11.0,19.0,255.0,173.0,147.0,186.0,0.9537806214766902,11.934218818639632,51255,classical,
IMG_3928.JPEG,11.0,19.0,255.0,184.0,147.0,189.0,0.823030945744322,12.892732333562803,50490,classical,
IMG_3929.JPEG,11.0,19.0,255.0,159.0,146.0,183.0,0.9969905433165379,9.454518202915526,52159,classical,
IMG_3930.JPEG,11.0,19.0,255.0,184.0,148.0,189.0,0.7022885374404408,10.534031240659367,51111,classical,
IMG_3932.JPEG,11.0,19.0,250.0,176.0,146.0,187.0,0.7637118970646231,8.512012748977163,49441,classical,
IMG_3934.JPEG,11.0,19.0,252.0,158.0,145.0,182.0,0.8577859818097964,10.051245031591378,51191,classical,
IMG_3935.JPEG,11.0,19.0,250.0,184.0,147.0,189.0,0.6819666342953717,12.315992302030999,50536,classical,
IMG_3951.JPEG,10.0,19.0,250.0,161.0,145.0,183.0,0.8060775774296405,13.273315373258633,51849,classical,
IMG_3953.JPEG,10.0,19.0,247.0,184.0,147.0,189.0,0.736595377764997,12.902118854883959,50071,classical,
IMG_3955.JPEG,10.0,19.0,248.0,178.0,146.0,187.0,0.726759801803605,12.335912572698486,51084,classical,
IMG_3957.JPEG,10.0,19.0,251.0,168.0,146.0,185.0,0.8046156006946572,12.85264564549211,52057,classical,
IMG_3959.JPEG,10.0,19.0,253.0,147.0,144.0,180.0,0.8437748234208656,16.692301492606585,53881,classical,
IMG_3960.JPEG,10.0,19.0,247.0,181.0,146.0,187.0,0.6396802198627273,13.768401956471346,50127,classical,
IMG_3963.JPEG,9.0,20.0,250.0,159.0,142.0,183.0,0.910847717403505,18.279994092404763,54513,classical,
IMG_3964.JPEG,9.0,20.0,250.0,173.0,143.0,187.0,0.9479923010160499,13.916716158735877,52860,classical,
IMG_3965.JPEG,9.0,20.0,244.0,154.0,141.0,181.0,0.9136760502584326,14.673987750279139,52772,classical,
IMG_3967.JPEG,9.0,19.0,236.0,165.0,142.0,183.0,0.7410184218321861,12.984298576634231,52307,classical,
IMG_3968.JPEG,9.0,19.0,237.0,173.0,143.0,186.0,0.794340334367584,15.940319161106903,53193,classical,
IMG_3969.JPEG,9.0,20.0,238.0,181.0,143.0,188.0,0.7580744522462403,12.090163119651196,51841,classical,
IMG_3970.JPEG,9.0,20.0,252.0,180.0,145.0,189.0,0.809442314694293,15.574841951229597,53477,classical,
IMG_3989.JPEG,10.0,19.0,250.0,150.0,145.0,180.0,0.7744990110788083,13.769649007373173,49544,classical,
IMG_3991.JPEG,10.0,19.0,249.0,182.0,147.0,188.0,0.708348164144617,13.442407015714428,48343,classical,
IMG_3993.JPEG,10.0,19.0,249.0,179.0,146.0,188.0,0.6938576307175289,14.283495597970102,48369,classical,
IMG_3994.JPEG,10.0,19.0,251.0,181.0,146.0,188.0,0.6494334185822037,13.184467455691092,48658,classical,
IMG_3995.JPEG,10.0,19.0,252.0,150.0,144.0,180.0,0.7855409827143232,12.778383100867826,49764,classical,
IMG_3997.JPEG,10.0,19.0,251.0,150.0,145.0,180.0,0.780929918432578,12.243814624259908,49704,classical,
IMG_3999.JPEG,10.0,20.0,242.0,164.0,140.0,185.0,0.6522300450628767,13.258955203883762,59103,classical,
IMG_4003.JPEG,10.0,20.0,242.0,175.0,141.0,188.0,0.659989234615704,13.61234418490646,58952,classical,
IMG_4005.JPEG,10.0,21.0,243.0,185.0,140.0,190.0,0.6422989539259092,14.008953219687593,58659,classical,
IMG_4006.JPEG,10.0,20.0,241.0,187.0,141.0,191.0,0.6238975085285218,13.975946503723936,58494,classical,
IMG_4008.JPEG,10.0,20.0,245.0,180.0,141.0,189.0,0.6323418208991771,14.02592499323457,58847,classical,
IMG_4009.JPEG,10.0,20.0,247.0,163.0,140.0,185.0,0.6892469305865917,11.745812871024347,59768,classical,
IMG_4010.JPEG,10.0,21.0,247.0,180.0,140.0,189.0,0.6779751603159838,14.02929614607249,60053,classical,
IMG_4011.JPEG,10.0,21.0,247.0,183.0,140.0,190.0,0.665988053211912,13.91965215596404,59914,classical,
IMG_4197.JPEG,11.0,20.0,250.0,159.0,143.0,183.0,0.8097844793943172,15.62301670347728,55580,classical,
IMG_4199.JPEG,11.0,20.0,249.0,175.0,143.0,187.0,0.7974603605200883,14.694000639635055,55110,classical,
IMG_4200.JPEG,11.0,20.0,252.0,180.0,143.0,188.0,0.7700300608494368,15.953428841215775,53838,classical,
IMG_4201.JPEG,11.0,19.0,252.0,173.0,144.0,187.0,0.8439043780746329,15.90982931857501,54969,classical,
IMG_4202.JPEG,11.0,19.0,253.0,155.0,142.0,182.0,0.9201356212631124,16.31750657476538,56463,classical,
IMG_4203.JPEG,11.0,20.0,251.0,185.0,143.0,190.0,0.6706441069749355,16.06856626855451,54298,classical,
IMG_4204.JPEG,11.0,20.0,251.0,180.0,144.0,189.0,0.7063025830109605,15.569192490727328,54263,classical,
IMG_4208.JPEG,9.0,20.0,247.0,145.0,140.0,180.0,0.862650333301489,24.38663849496746,58376,classical,
IMG_4209.JPEG,9.0,20.0,243.0,154.0,140.0,182.0,0.8739904693466062,21.70771577553081,56717,classical,
IMG_4210.JPEG,9.0,20.0,248.0,173.0,141.0,187.0,0.6972501990065676,18.879583700329892,54464,classical,
IMG_4211.JPEG,9.0,20.0,251.0,178.0,141.0,189.0,0.681353492030832,18.531923734189643,54232,classical,
IMG_4212.JPEG,9.0,20.0,247.0,161.0,140.0,184.0,0.6778314706092945,17.23735565831222,55306,classical,
IMG_4213.JPEG,9.0,20.0,246.0,158.0,140.0,183.0,0.6801021242880442,17.70425748519926,55942,classical,
IMG_4214.JPEG,9.0,21.0,249.0,179.0,140.0,189.0,0.5712839684030458,18.931510839101012,53728,classical,
IMG_4215.JPEG,9.0,21.0,249.0,177.0,140.0,189.0,0.6038716292526931,19.049235167666385,54105,classical,
IMG_4241.JPEG,10.0,20.0,255.0,173.0,142.0,187.0,0.6541924917012002,14.521816578654436,52000,classical,
IMG_4242.JPEG,10.0,20.0,254.0,172.0,142.0,187.0,0.6506643505724722,14.440524508555967,52002,classical,
